id_agama,id_kelurahan,islam_lk,kristen_lk,katholik_lk,budha_lk,hindu_lk,konghucu_lk,islam_pr,kristen_pr,katholik_pr,budha_pr,hindu_pr,konghucu_pr,update,1
249,95,3670,3596,296,261,153,200,63,60,3,3,1,1,2017-12-30,
250,96,3710,3593,252,250,123,148,53,48,1,3,1,1,2017-12-30,
251,97,6543,6393,1152,1219,597,633,184,174,25,20,1,1,2017-12-30,
252,98,4334,4282,682,740,400,426,189,199,27,23,2,1,2017-12-30,
253,99,2346,2233,193,193,65,59,24,33,5,3,2,4,2017-12-30,
254,100,10137,9966,773,804,188,223,11,18,15,16,2,1,2017-12-30,
255,101,16845,16746,669,757,243,234,39,34,30,32,2,2,2017-12-30,
256,102,1877,1889,3,2,1,1,3,2,1,1,1,1,2017-12-30,
257,103,1273,1180,2,3,1,1,1,1,3,4,1,1,2017-12-30,
258,104,7057,6922,1338,1377,543,605,262,266,31,29,3,3,2017-12-30,
259,105,4770,4713,548,575,243,286,102,81,8,9,3,2,2017-12-30,
260,106,9671,9584,2586,2575,1417,1433,459,421,161,148,6,4,2017-12-30,
261,107,6040,5780,485,494,223,248,2,3,32,29,1,1,2017-12-30,
262,108,5943,5809,1047,1146,437,465,214,221,15,17,2,2,2017-12-30,
263,109,5809,5866,1362,1413,685,693,237,248,28,23,3,2,2017-12-30,
264,110,6548,6446,637,650,280,308,64,77,49,39,1,1,2017-12-30,
265,111,4199,4209,1977,2051,991,1106,571,516,23,21,5,5,2017-12-30,
266,112,7158,7213,545,587,306,327,28,28,68,71,1,1,2017-12-30,
267,113,3901,4074,629,716,218,202,6,10,47,47,1,1,2017-12-30,
268,114,4101,3933,211,220,117,104,14,11,23,17,1,1,2017-12-30,
269,115,4995,5004,548,614,457,462,59,52,51,50,1,1,2017-12-30,
270,116,4975,4938,263,276,186,174,11,13,11,12,1,1,2017-12-30,
271,117,7481,7461,302,383,255,263,14,9,26,28,1,1,2017-12-30,
272,118,5178,5119,256,260,115,108,4,3,16,14,1,1,2017-12-30,
273,119,6499,6408,219,224,145,136,6,6,19,29,1,1,2017-12-30,
274,120,7028,6992,1459,1504,860,959,144,144,26,30,2,1,2017-12-30,
275,121,6708,6585,522,586,384,392,56,48,12,14,3,2,2017-12-30,
276,122,4597,4688,470,521,391,438,59,55,17,15,1,1,2017-12-30,
277,123,5348,5317,723,742,422,490,147,128,21,19,1,1,2017-12-30,
278,124,8892,8906,865,872,492,525,61,79,62,57,4,1,2017-12-30,
279,125,5025,4861,955,1009,621,639,136,144,38,37,1,1,2017-12-30,
280,126,6235,6225,396,454,202,242,16,18,50,45,1,1,2017-12-30,
281,127,3179,3134,998,1055,455,468,73,92,42,38,2,1,2017-12-30,
282,128,5593,5535,1783,1964,1053,1152,533,527,58,61,4,4,2017-12-30,
283,129,6425,6316,1338,1417,706,810,310,330,44,39,1,1,2017-12-30,
284,130,2615,2639,460,467,317,299,162,133,9,9,3,1,2017-12-30,
285,131,3756,3762,2179,2288,1145,1214,463,511,26,21,10,10,2017-12-30,
286,132,3989,4011,2307,2431,1075,1246,709,723,34,28,9,10,2017-12-30,
287,133,5214,5191,1021,1025,409,448,209,202,25,16,2,1,2017-12-30,
288,134,4526,4440,688,685,288,259,162,168,15,12,1,1,2017-12-30,
289,135,3307,3258,1423,1678,811,862,530,522,8,6,2,3,2017-12-30,
290,136,1740,1727,1256,1351,750,874,408,403,17,16,5,3,2017-12-30,
291,137,2918,2935,396,436,91,91,54,59,6,4,4,4,2017-12-30,
292,138,10670,10681,930,1000,258,295,71,74,32,34,1,1,2017-12-30,
293,139,19377,19080,1148,1191,299,274,76,52,41,45,2,5,2017-12-30,
294,140,16060,15474,489,474,149,170,29,24,20,13,1,2,2017-12-30,
295,141,4000,3825,71,85,12,10,9,6,3,4,1,1,2017-12-30,
296,142,3625,3475,18,19,3,3,14,11,7,4,2,4,2017-12-30,
297,143,3054,2971,10,21,5,8,1,1,3,4,1,1,2017-12-30,
298,144,2503,2414,532,605,242,245,175,153,7,4,3,1,2017-12-30,
299,145,9503,9389,496,523,127,139,116,138,38,37,2,2,2017-12-30,
300,146,4865,4877,347,410,175,176,5,3,110,112,1,1,2017-12-30,
301,147,4489,4378,109,109,42,42,9,10,6,6,1,1,2017-12-30,
302,148,9838,9608,1437,1422,478,521,73,85,39,37,4,4,2017-12-30,
303,149,5529,5296,118,131,37,36,5,6,5,3,1,1,2017-12-30,
304,150,5480,5334,43,50,14,14,3,2,8,12,1,1,2017-12-30,
305,151,8083,7988,1268,1447,714,781,173,194,9,9,3,4,2017-12-30,
306,152,3641,3473,404,456,298,293,92,106,16,14,1,1,2017-12-30,
307,153,2537,2500,56,70,22,20,1,2,5,5,1,1,2017-12-30,
308,154,10961,10778,2269,2232,977,1058,360,323,49,44,1,2,2017-12-30,
